City,Average Salary
"Newark, CA",150000
"Concord, CA",130167
"Marin City, CA",126000
"Pico Rivera, CA",122500
"Belcamp, MD",122000
"Fort George G Meade, MD",122000
"Seven Hills, OH",120000
"Strongsville, OH",120000
"Carnegie, PA",119500
"Eighty Four, PA",119500
"Heidelberg, PA",119500
"Leetsdale, PA",119500
"Macdill AFB, FL",119000
"Md City, MD",119000
Michigan,119000
"Offutt AFB, NE",119000
South Carolina,119000
Texas,119000
"Los Gatos, CA",118700
"College Park, MD",118000
"Westminster, CO",117000
"Berkeley, CA",115500
"Des Moines, WA",115000
"Glenview, IL",113000
"Northfield, IL",113000
"Daly City, CA",112500
"Oregon City, OR",112000
"Wilsonville, OR",112000
"San Jose, CA",111240
"East Weymouth, MA",109000
"Milton, MA",109000
"Tewksbury, MA",109000
"Wellesley, MA",109000
"City of Industry, CA",106000
"Cupertino, CA",105885
Connecticut,105750
"Santa Clara, CA",105182
"Garner, NC",105000
"Far Rockaway, NY",104500
"Memphis, TN",104500
"Millington, TN",104500
"Edison, NJ",104000
"Mahwah, NJ",104000
"Beaverton, OR",103818
"Great Neck, NY",103000
"Aberdeen Proving Ground, MD",102833
"Menlo Park, CA",102654
"Redwood City, CA",100735
"Sunnyvale, CA",100540
"Portland, OR",100214
"Wharton, NJ",100000
"Emeryville, CA",99000
"National City, CA",99000
"Novato, CA",99000
"Whittier, CA",98750
"Spring, TX",98500
"San Francisco, CA",98338
"Stanford, CA",98000
"Sterling, VA",97375
"Palo Alto, CA",96659
"Mountain View, CA",96650
"Annapolis Junction, MD",96583
"Parsippany, NJ",96500
California,96333
"Burlingame, CA",96125
"New Berlin, WI",96000
"Sturtevant, WI",96000
"Waukesha, WI",96000
"Florham Park, NJ",95750
"Fremont, CA",95389
"Scott Air Force Base, IL",94500
"Hoboken, NJ",94375
"Vancouver, WA",94000
"Woodlawn, MD",93250
"Arcadia, CA",93000
"Bloomington, MN",93000
"Inver Grove Heights, MN",93000
"Maple Grove, MN",93000
"West Orange, NJ",93000
"Danvers, MA",92750
"Oakland, CA",92588
Arizona,92500
"Berlin, VT",92500
"Bothell, WA",92500
"Hercules, CA",92500
"Millbrae, CA",92500
Pennsylvania,92500
"Tunica Resorts, MS",92500
Utah,92500
"Wright Patterson AFB, OH",92500
"Concord, MA",92000
"El Cajon, CA",92000
"New Brunswick, NJ",92000
"Gardena, CA",91667
"Woodland Hills, CA",91417
"Morrisville, NC",91286
"Dedham, MA",90000
"Deerfield, IL",90000
"San Mateo, CA",90000
"San Bruno, CA",89750
"Secaucus, NJ",89750
"Summit, NJ",89750
"Columbia, MD",89559
"Campbell, CA",89500
"Henderson, CO",89500
"Hillsboro, OR",89500
"Bridgeton, MO",89300
"Whippany, NJ",89000
"Foster City, CA",88773
"Silver Spring, MD",88750
"Boothwyn, PA",88500
"Newtown Square, PA",88500
"Norristown, PA",88500
"Merrifield, VA",88000
"Maywood, IL",87000
"Valley Stream, NY",87000
"Aurora, CO",86667
"Earth City, MO",86500
Georgia,86500
"Livermore, CA",86500
"Milpitas, CA",86500
"Redmond, WA",86140
"Claremont, CA",86000
"Charlestown, MA",85900
"Basking Ridge, NJ",85833
"Rockville, MD",85833
"Elk Grove Village, IL",85500
"Bellevue, WA",85455
"Mc Lean, VA",85300
"Brockton, MA",85250
"San Diego, CA",85201
"Rolling Meadows, IL",85167
"Reston, VA",85068
"Kirkland, WA",85000
"Fairfax, VA",84857
Virginia,84667
"Millersville, MD",84500
"Owings Mills, MD",83950
"Pleasanton, CA",83786
"Woodbridge, NJ",83750
"Fort Meade, MD",83033
"Dublin, CA",83000
"Fort Belvoir, VA",82571
"Englewood, CO",82389
"Orange, CA",82346
"Bethesda, MD",82222
